study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep1	ERR14791273	ERX14196060	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791273/G1P4N6_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791273/G1P4N6_Rep1.R2.fastq.gz
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep2	ERR14791274	ERX14196061	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791274/G1P4N6_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791274/G1P4N6_Rep2.R2.fastq.gz
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep3	ERR14791275	ERX14196062	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791275/G1P4N6_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791275/G1P4N6_Rep3.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep1	ERR14791276	ERX14196063	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791276/G281YO_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791276/G281YO_Rep1.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep2	ERR14791277	ERX14196064	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791277/G281YO_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791277/G281YO_Rep2.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep3	ERR14791278	ERX14196065	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791278/G281YO_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791278/G281YO_Rep3.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep1	ERR14791279	ERX14196066	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791279/G3FFNC_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791279/G3FFNC_Rep1.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep2	ERR14791280	ERX14196067	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791280/G3FFNC_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791280/G3FFNC_Rep2.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep3	ERR14791281	ERX14196068	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791281/G3FFNC_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791281/G3FFNC_Rep3.R2.fastq.gz
PRJEB86111	G4FG95	SAMEA117961227	G4FG95_Rep1	ERR14791282	ERX14196069	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791282/G4FG95_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791282/G4FG95_Rep1.R2.fastq.gz
